id,name_en,name_kn,age,gender,district_id,risk_score,is_repeat_offender
PERSON_ACCUSED_24,Chandrashekar Patel,Chandrashekar Patel,33,Male,DIST_1,45,
PERSON_ACCUSED_25,Arshad Kulkarni,Arshad Kulkarni,37,Male,DIST_1,45,
PERSON_ACCUSED_26,Vijaykumar Suvarna,Vijaykumar Suvarna,33,Male,DIST_1,45,
PERSON_ACCUSED_27,Chandru Inamdar,Chandru Inamdar,27,Male,DIST_1,45,
PERSON_ACCUSED_28,Dinesh Bellary,Dinesh Bellary,25,Male,DIST_1,45,
PERSON_ACCUSED_29,Prasad alias Rowdy Prasad,Prasad alias Rowdy Prasad,31,Male,DIST_1,45,
PERSON_ACCUSED_30,Basavaraj Patel,Basavaraj Patel,29,Male,DIST_1,45,
PERSON_ACCUSED_31,Imran Siddiqui,Imran Siddiqui,34,Male,DIST_1,45,
PERSON_ACCUSED_32,Ganesh Achar,Ganesh Achar,22,Male,DIST_1,45,
PERSON_ACCUSED_33,Anwar Menon,Anwar Menon,18,Male,DIST_1,45,
PERSON_ACCUSED_34,Rashid Achar,Rashid Achar,21,Male,DIST_1,45,
PERSON_ACCUSED_35,Jameel Pai,Jameel Pai,32,Male,DIST_1,45,
PERSON_ACCUSED_36,Imran Maniyar,Imran Maniyar,33,Male,DIST_1,45,
PERSON_ACCUSED_37,Gopal Swamy,Gopal Swamy,18,Male,DIST_1,45,
PERSON_ACCUSED_38,Basheer Khan,Basheer Khan,29,Male,DIST_1,45,
PERSON_ACCUSED_39,Mahesh Swamy,Mahesh Swamy,36,Male,DIST_1,45,
PERSON_ACCUSED_40,Dinesh Maniyar,Dinesh Maniyar,38,Male,DIST_1,45,
PERSON_ACCUSED_41,Raghavendra Shetty,Raghavendra Shetty,34,Male,DIST_1,45,
PERSON_ACCUSED_42,Prasad Baig,Prasad Baig,22,Male,DIST_1,45,
PERSON_ACCUSED_43,Chandru Khan,Chandru Khan,32,Male,DIST_1,45,
PERSON_ACCUSED_44,Ismail Menon,Ismail Menon,19,Male,DIST_1,45,
PERSON_ACCUSED_45,Jagadish Shaikh,Jagadish Shaikh,31,Male,DIST_1,45,
PERSON_ACCUSED_46,Umesh Joshi,Umesh Joshi,39,Male,DIST_1,45,
PERSON_ACCUSED_47,Nagaraj Bhat,Nagaraj Bhat,27,Male,DIST_1,45,
PERSON_ACCUSED_48,Manju Joshi,Manju Joshi,30,Male,DIST_1,45,
PERSON_ACCUSED_49,Roshan Patel,Roshan Patel,21,Female,DIST_1,45,
PERSON_ACCUSED_50,Mahadev Patil,Mahadev Patil,19,Male,DIST_1,45,
PERSON_ACCUSED_51,Rashid Hegde,Rashid Hegde,40,Male,DIST_1,45,
PERSON_ACCUSED_52,Rangaswamy Ansari,Rangaswamy Ansari,18,Male,DIST_1,45,
PERSON_ACCUSED_53,Aslam Inamdar,Aslam Inamdar,30,Male,DIST_1,45,
PERSON_ACCUSED_54,Hanumantha Hegde,Hanumantha Hegde,18,Male,DIST_1,45,
PERSON_ACCUSED_55,Akbar Bhat,Akbar Bhat,19,Male,DIST_1,45,
PERSON_ACCUSED_56,Kumar Gowda,Kumar Gowda,30,Male,DIST_1,45,
PERSON_ACCUSED_57,Aslam Suvarna,Aslam Suvarna,31,Male,DIST_1,45,
PERSON_ACCUSED_58,Ganesh Murthy,Ganesh Murthy,28,Male,DIST_1,45,
PERSON_ACCUSED_59,Ganesh Kulkarni,Ganesh Kulkarni,21,Male,DIST_1,45,
PERSON_ACCUSED_60,Mahadev Devadiga,Mahadev Devadiga,21,Male,DIST_1,45,
PERSON_ACCUSED_61,Hussain Inamdar,Hussain Inamdar,27,Male,DIST_1,45,
PERSON_ACCUSED_62,Ganesh Nayak,Ganesh Nayak,27,Male,DIST_1,45,
PERSON_ACCUSED_63,Nagaraj Nayak,Nagaraj Nayak,40,Male,DIST_1,45,
PERSON_ACCUSED_64,Siddappa Menon,Siddappa Menon,37,Male,DIST_1,45,
PERSON_ACCUSED_65,Chandru alias Chinna,Chandru alias Chinna,30,Male,DIST_1,89,1
PERSON_ACCUSED_66,Saleem Menon,Saleem Menon,23,Male,DIST_1,45,
PERSON_ACCUSED_67,Nandini Siddiqui,Nandini Siddiqui,37,Female,DIST_1,45,
PERSON_ACCUSED_68,Mohan Nair,Mohan Nair,30,Male,DIST_1,45,
PERSON_ACCUSED_69,Santosh Ahmed,Santosh Ahmed,34,Male,DIST_1,45,
PERSON_ACCUSED_70,Manju Khan,Manju Khan,33,Male,DIST_1,45,
PERSON_ACCUSED_71,Yogesh Achar,Yogesh Achar,37,Male,DIST_1,45,
PERSON_ACCUSED_72,Dinesh Ali,Dinesh Ali,26,Male,DIST_1,45,
PERSON_ACCUSED_73,Vinay Gowda,Vinay Gowda,40,Male,DIST_1,45,
PERSON_ACCUSED_74,Jameel Bellary,Jameel Bellary,27,Male,DIST_1,45,
PERSON_ACCUSED_75,Basavaraj Sheikh,Basavaraj Sheikh,32,Male,DIST_1,45,
PERSON_ACCUSED_76,Kiran Maniyar,Kiran Maniyar,41,Male,DIST_1,45,
PERSON_ACCUSED_77,Ravi Inamdar,Ravi Inamdar,18,Male,DIST_1,45,
PERSON_ACCUSED_78,Ismail Qureshi,Ismail Qureshi,44,Male,DIST_1,45,
PERSON_ACCUSED_79,Anwar Suvarna,Anwar Suvarna,29,Male,DIST_1,45,
PERSON_ACCUSED_80,Mahadev Nayak,Mahadev Nayak,29,Male,DIST_1,45,
PERSON_ACCUSED_81,Mohan M Nair,Mohan M Nair,24,Male,DIST_1,45,
PERSON_ACCUSED_82,Anil Kulkarni,Anil Kulkarni,22,Male,DIST_1,45,
PERSON_ACCUSED_83,Prasad Patil,Prasad Patil,27,Male,DIST_1,45,
PERSON_ACCUSED_84,Abdul Reddy,Abdul Reddy,29,Male,DIST_1,45,
PERSON_ACCUSED_85,Rakesh Siddiqui,Rakesh Siddiqui,27,Male,DIST_1,45,
PERSON_ACCUSED_86,Shivakumar Char,Shivakumar Char,29,Male,DIST_1,45,
PERSON_ACCUSED_87,Shivakumar Menon,Shivakumar Menon,36,Male,DIST_1,45,
PERSON_ACCUSED_88,Aslam Naidu,Aslam Naidu,35,Male,DIST_1,45,
PERSON_ACCUSED_89,Anil Swamy,Anil Swamy,27,Male,DIST_1,45,
PERSON_ACCUSED_90,Suresh Kini,Suresh Kini,18,Male,DIST_1,45,
PERSON_ACCUSED_91,Shankar Mulla,Shankar Mulla,25,Male,DIST_1,45,
PERSON_ACCUSED_92,Yogesh Shetty,Yogesh Shetty,39,Male,DIST_1,45,
PERSON_ACCUSED_93,Vijaykumar Naidu,Vijaykumar Naidu,29,Male,DIST_1,45,
PERSON_ACCUSED_94,Imran Patel,Imran Patel,34,Male,DIST_1,45,
PERSON_ACCUSED_95,Iqbal Menon,Iqbal Menon,25,Male,DIST_1,45,
PERSON_ACCUSED_96,Ravi Poojary,Ravi Poojary,33,Male,DIST_1,45,
PERSON_ACCUSED_97,Kiran Poojary,Kiran Poojary,25,Male,DIST_1,45,
PERSON_ACCUSED_98,Lokesh Prabhu,Lokesh Prabhu,37,Male,DIST_1,45,
PERSON_ACCUSED_99,Deepak Hiremath,Deepak Hiremath,18,Male,DIST_1,45,
PERSON_ACCUSED_100,Shivakumar Nayak,Shivakumar Nayak,30,Male,DIST_1,45,
PERSON_ACCUSED_101,Akbar Nayak,Akbar Nayak,29,Male,DIST_1,45,
PERSON_ACCUSED_102,Santhosh Baig,Santhosh Baig,43,Male,DIST_1,45,
PERSON_ACCUSED_103,Mallesh Bangera,Mallesh Bangera,31,Male,DIST_1,45,
PERSON_ACCUSED_104,Kempe Khan,Kempe Khan,36,Male,DIST_1,45,
PERSON_ACCUSED_105,Venkatesh Khan,Venkatesh Khan,26,Male,DIST_1,45,
PERSON_ACCUSED_106,Suresh Murthy,Suresh Murthy,28,Male,DIST_1,45,
PERSON_ACCUSED_107,Suresh B Kini,Suresh B Kini,22,Male,DIST_1,45,
PERSON_ACCUSED_108,Mallesh Rao,Mallesh Rao,29,Male,DIST_1,45,
PERSON_ACCUSED_109,Chandru Sayyad,Chandru Sayyad,30,Male,DIST_1,45,
PERSON_ACCUSED_110,Yogesh Poojary,Yogesh Poojary,30,Male,DIST_1,45,
PERSON_ACCUSED_111,Divya Suvarna,Divya Suvarna,29,Female,DIST_1,45,
PERSON_ACCUSED_112,Kumar Naidu,Kumar Naidu,30,Male,DIST_1,45,
PERSON_ACCUSED_113,Byre Achar,Byre Achar,25,Male,DIST_1,45,
PERSON_ACCUSED_114,Mallesh Nair,Mallesh Nair,35,Male,DIST_1,45,
PERSON_ACCUSED_115,Jameel Hiremath,Jameel Hiremath,21,Male,DIST_1,45,
PERSON_ACCUSED_116,Madhu Bhat,Madhu Bhat,31,Male,DIST_1,45,
PERSON_ACCUSED_118,Kumar Qureshi,Kumar Qureshi,37,Male,DIST_1,45,
PERSON_ACCUSED_119,Ningappa Hiremath,Ningappa Hiremath,35,Male,DIST_1,45,
PERSON_ACCUSED_120,Dinesh Nair,Dinesh Nair,18,Male,DIST_1,45,
PERSON_ACCUSED_121,Saleem Joshi,Saleem Joshi,36,Male,DIST_1,45,
PERSON_ACCUSED_122,Mohammed Naidu,Mohammed Naidu,33,Male,DIST_1,45,
PERSON_ACCUSED_123,Kempe Rao,Kempe Rao,35,Male,DIST_1,45,
PERSON_ACCUSED_124,Madhu Ali,Madhu Ali,28,Male,DIST_1,45,
PERSON_ACCUSED_125,Manjunath Menon,Manjunath Menon,29,Male,DIST_1,45,
PERSON_ACCUSED_126,Chandru Nayak,Chandru Nayak,18,Male,DIST_1,45,
PERSON_ACCUSED_127,Prasad Sheikh,Prasad Sheikh,39,Male,DIST_1,45,
PERSON_ACCUSED_128,Nadeem Patil,Nadeem Patil,31,Male,DIST_1,45,
PERSON_ACCUSED_129,Faisal Nadaf,Faisal Nadaf,19,Male,DIST_1,45,
PERSON_ACCUSED_130,Ramesh Kamath,Ramesh Kamath,25,Male,DIST_1,45,
PERSON_ACCUSED_131,Raghavendra J Shetty,Raghavendra J Shetty,31,Male,DIST_1,45,
PERSON_ACCUSED_132,Faiz Shetty,Faiz Shetty,28,Male,DIST_1,45,
PERSON_ACCUSED_133,Imran Bangera,Imran Bangera,25,Male,DIST_1,45,
PERSON_ACCUSED_134,Saleem Suvarna,Saleem Suvarna,40,Male,DIST_1,45,
PERSON_ACCUSED_135,Aslam Menon,Aslam Menon,26,Male,DIST_1,45,
PERSON_ACCUSED_136,Thimmappa Salian,Thimmappa Salian,25,Male,DIST_1,45,
PERSON_ACCUSED_137,Ashok Rao,Ashok Rao,28,Male,DIST_1,45,
PERSON_ACCUSED_138,Syed Bellary,Syed Bellary,25,Male,DIST_1,45,
PERSON_ACCUSED_139,Suma Desai,Suma Desai,20,Female,DIST_1,45,
PERSON_ACCUSED_140,Gopal Nair,Gopal Nair,29,Male,DIST_1,45,
PERSON_ACCUSED_141,Aslam Qureshi,Aslam Qureshi,27,Male,DIST_1,45,
PERSON_ACCUSED_142,Ismail Nayak,Ismail Nayak,18,Male,DIST_1,45,
PERSON_ACCUSED_143,Prasad Char,Prasad Char,27,Male,DIST_1,45,
PERSON_ACCUSED_144,Deepak Naidu,Deepak Naidu,29,Male,DIST_1,45,
PERSON_ACCUSED_145,Arshad Char,Arshad Char,35,Male,DIST_1,45,
PERSON_ACCUSED_146,Santhosh Reddy,Santhosh Reddy,31,Male,DIST_1,45,
PERSON_ACCUSED_147,Faisal Shaikh,Faisal Shaikh,23,Male,DIST_1,45,
PERSON_ACCUSED_148,Mahesh Ahmed,Mahesh Ahmed,20,Male,DIST_1,45,
PERSON_ACCUSED_149,Zubaida Nadaf,Zubaida Nadaf,30,Female,DIST_1,45,
PERSON_ACCUSED_150,Rashid Kotian,Rashid Kotian,24,Male,DIST_1,45,
PERSON_ACCUSED_151,Mallesh Murthy,Mallesh Murthy,37,Male,DIST_1,45,
PERSON_ACCUSED_152,Rajesh Menon,Rajesh Menon,21,Male,DIST_1,45,
PERSON_ACCUSED_153,Nasreen Sheikh,Nasreen Sheikh,28,Female,DIST_1,45,
PERSON_ACCUSED_154,Rehana Kotian,Rehana Kotian,20,Female,DIST_1,45,
PERSON_ACCUSED_155,Arshad Bangera,Arshad Bangera,30,Male,DIST_1,45,
PERSON_ACCUSED_156,Manju Ahmed,Manju Ahmed,26,Male,DIST_1,45,
PERSON_ACCUSED_157,Darshan Khan,Darshan Khan,29,Male,DIST_1,45,
PERSON_ACCUSED_158,Satish Patel,Satish Patel,21,Male,DIST_1,45,
PERSON_ACCUSED_159,Lakshmi Ahmed,Lakshmi Ahmed,35,Female,DIST_1,45,
PERSON_ACCUSED_160,Hanumantha Hiremath,Hanumantha Hiremath,27,Male,DIST_1,45,
PERSON_ACCUSED_161,Gururaj Achar,Gururaj Achar,24,Male,DIST_1,45,
PERSON_ACCUSED_162,Rakesh alias Rocky,Rakesh alias Rocky,29,Male,DIST_1,81,1
PERSON_ACCUSED_163,Ashok Patel,Ashok Patel,31,Male,DIST_1,45,
PERSON_ACCUSED_164,Rajesh Char,Rajesh Char,26,Male,DIST_1,45,
PERSON_ACCUSED_165,Imran Mulla,Imran Mulla,27,Male,DIST_1,45,
PERSON_ACCUSED_166,Kempe Baig,Kempe Baig,28,Male,DIST_1,45,
PERSON_ACCUSED_167,Rangaswamy Pai,Rangaswamy Pai,32,Male,DIST_1,45,
PERSON_ACCUSED_168,Abdul Shaikh,Abdul Shaikh,18,Male,DIST_1,45,
PERSON_ACCUSED_169,Srinivas Shetty,Srinivas Shetty,38,Male,DIST_1,45,
PERSON_ACCUSED_170,Gururaj Sheikh,Gururaj Sheikh,29,Male,DIST_1,45,
PERSON_ACCUSED_171,Darshan Nair,Darshan Nair,32,Male,DIST_1,45,
PERSON_ACCUSED_172,Raghavendra Suvarna,Raghavendra Suvarna,36,Male,DIST_1,45,
PERSON_ACCUSED_173,Nadeem Baig,Nadeem Baig,23,Male,DIST_1,45,
PERSON_ACCUSED_174,Mahadev Sheikh,Mahadev Sheikh,27,Male,DIST_1,45,
PERSON_ACCUSED_175,Dinesh Achar,Dinesh Achar,23,Male,DIST_1,45,
PERSON_ACCUSED_176,Thimmappa Nadaf,Thimmappa Nadaf,37,Male,DIST_1,45,
PERSON_ACCUSED_177,Shabbir Salian,Shabbir Salian,31,Male,DIST_1,45,
PERSON_ACCUSED_178,Shabbir Nair,Shabbir Nair,29,Male,DIST_1,45,
PERSON_ACCUSED_179,Mallesh Kotian,Mallesh Kotian,34,Male,DIST_1,45,
PERSON_ACCUSED_180,Basheer Kini,Basheer Kini,29,Male,DIST_1,45,
PERSON_ACCUSED_181,Mahadeva Char,Mahadeva Char,29,Male,DIST_1,45,
PERSON_ACCUSED_182,Nasreen Devadiga,Nasreen Devadiga,22,Female,DIST_1,45,
PERSON_ACCUSED_183,Arshad Swamy,Arshad Swamy,37,Male,DIST_1,45,
PERSON_ACCUSED_184,Harish Hosur,Harish Hosur,45,Male,DIST_1,45,
PERSON_ACCUSED_185,Irfan Nadaf,Irfan Nadaf,25,Male,DIST_1,45,
PERSON_ACCUSED_186,Deepak N Hiremath,Deepak N Hiremath,18,Male,DIST_1,45,
PERSON_ACCUSED_187,Saleem W Menon,Saleem W Menon,20,Male,DIST_1,45,
PERSON_ACCUSED_188,Ravi Hegde,Ravi Hegde,20,Male,DIST_1,45,
PERSON_ACCUSED_189,Girish Nayak,Girish Nayak,33,Male,DIST_1,45,
PERSON_ACCUSED_190,Darshan Shaikh,Darshan Shaikh,29,Male,DIST_1,45,
PERSON_ACCUSED_191,Jameel Ali,Jameel Ali,18,Male,DIST_1,45,
PERSON_ACCUSED_192,Santhosh Rao,Santhosh Rao,42,Male,DIST_1,45,
PERSON_ACCUSED_193,Mohammed Maniyar,Mohammed Maniyar,28,Male,DIST_1,45,
PERSON_ACCUSED_194,Chandrashekar Shetty,Chandrashekar Shetty,33,Male,DIST_1,45,
PERSON_ACCUSED_195,Gopal Baig,Gopal Baig,29,Male,DIST_1,45,
PERSON_ACCUSED_196,Basavaraj Char,Basavaraj Char,19,Male,DIST_1,45,
PERSON_ACCUSED_197,Nagendra Hubli,Nagendra Hubli,35,Male,DIST_1,45,
PERSON_ACCUSED_198,Kempe Kamath,Kempe Kamath,28,Male,DIST_1,45,
PERSON_ACCUSED_199,Mohan Nadaf,Mohan Nadaf,37,Male,DIST_1,45,
PERSON_ACCUSED_200,Pradeep Patil,Pradeep Patil,37,Male,DIST_1,45,
PERSON_ACCUSED_201,Abdul Inamdar,Abdul Inamdar,30,Male,DIST_1,45,
PERSON_ACCUSED_202,Jameel Ahmed,Jameel Ahmed,18,Male,DIST_1,45,
PERSON_ACCUSED_203,Arshad Ali,Arshad Ali,28,Male,DIST_1,45,
PERSON_ACCUSED_204,Ramesh Bangera,Ramesh Bangera,18,Male,DIST_1,45,
PERSON_ACCUSED_205,Nadeem D Murthy,Nadeem D Murthy,25,Male,DIST_1,45,
PERSON_ACCUSED_206,Suresh Desai,Suresh Desai,22,Male,DIST_1,45,
PERSON_ACCUSED_207,Yusuf Achar,Yusuf Achar,31,Male,DIST_1,45,
PERSON_ACCUSED_208,Arshad Nair,Arshad Nair,18,Male,DIST_1,45,
PERSON_ACCUSED_209,Irfan Siddiqui,Irfan Siddiqui,18,Male,DIST_1,45,
PERSON_ACCUSED_210,Dinesh Nadaf,Dinesh Nadaf,29,Male,DIST_1,45,
PERSON_ACCUSED_211,Ningappa Hubli,Ningappa Hubli,46,Male,DIST_1,45,
PERSON_ACCUSED_212,Anitha Kamath,Anitha Kamath,24,Female,DIST_1,45,
PERSON_ACCUSED_213,Prasad Kamath,Prasad Kamath,32,Male,DIST_1,45,
PERSON_ACCUSED_214,Deepak Maniyar,Deepak Maniyar,32,Male,DIST_1,45,
PERSON_ACCUSED_215,Umesh Reddy,Umesh Reddy,30,Male,DIST_1,45,
PERSON_ACCUSED_216,Chandrashekar Nadaf,Chandrashekar Nadaf,33,Male,DIST_1,45,
PERSON_ACCUSED_217,Amina Shetty,Amina Shetty,18,Female,DIST_1,45,
PERSON_ACCUSED_218,Shivakumar Desai,Shivakumar Desai,31,Male,DIST_1,45,
PERSON_ACCUSED_219,Irfan Baig,Irfan Baig,30,Male,DIST_1,45,
PERSON_ACCUSED_220,Santhosh Sayyad,Santhosh Sayyad,30,Male,DIST_1,45,
PERSON_ACCUSED_221,Mahesh Kotian,Mahesh Kotian,34,Male,DIST_1,45,
PERSON_ACCUSED_222,Ashok Suvarna,Ashok Suvarna,24,Male,DIST_1,45,
PERSON_ACCUSED_223,Hanumantha Qureshi,Hanumantha Qureshi,36,Male,DIST_1,45,
PERSON_ACCUSED_224,Manju V Khan,Manju V Khan,18,Male,DIST_1,45,
PERSON_ACCUSED_225,Manjunath Bellary,Manjunath Bellary,23,Male,DIST_1,45,
PERSON_ACCUSED_226,Divya Inamdar,Divya Inamdar,38,Female,DIST_1,45,
PERSON_ACCUSED_227,Shabbir P Nair,Shabbir P Nair,28,Male,DIST_1,45,
PERSON_ACCUSED_228,Prasad A Char,Prasad A Char,39,Male,DIST_1,45,
PERSON_ACCUSED_229,Shivu Kamath,Shivu Kamath,32,Male,DIST_1,45,
PERSON_ACCUSED_230,Vinay Ahmed,Vinay Ahmed,21,Male,DIST_1,45,
PERSON_ACCUSED_231,Rashid Menon,Rashid Menon,37,Male,DIST_1,45,
PERSON_ACCUSED_232,Harish Bhat,Harish Bhat,26,Male,DIST_1,45,
PERSON_ACCUSED_233,Hussain Naidu,Hussain Naidu,34,Male,DIST_1,45,
PERSON_ACCUSED_234,Prasad Bangera,Prasad Bangera,29,Male,DIST_1,45,
PERSON_ACCUSED_235,Anil Ali,Anil Ali,40,Male,DIST_1,45,
PERSON_ACCUSED_236,Manjunath Rao,Manjunath Rao,20,Male,DIST_1,45,
PERSON_ACCUSED_237,Madhu Qureshi,Madhu Qureshi,33,Male,DIST_1,45,
PERSON_ACCUSED_238,Kempe Char,Kempe Char,29,Male,DIST_1,45,
PERSON_ACCUSED_239,Vijaykumar Achar,Vijaykumar Achar,31,Male,DIST_1,45,
PERSON_ACCUSED_240,Mallesh S Nair,Mallesh S Nair,33,Male,DIST_1,45,
PERSON_ACCUSED_241,Mohammed Hubli,Mohammed Hubli,38,Male,DIST_1,45,
PERSON_ACCUSED_242,Murali Naidu,Murali Naidu,29,Male,DIST_1,45,
PERSON_ACCUSED_243,Arun alias Arni,Arun alias Arni,39,Male,DIST_1,45,
PERSON_ACCUSED_244,Raghavendra Hosur,Raghavendra Hosur,20,Male,DIST_1,45,
PERSON_ACCUSED_245,Faiz Hiremath,Faiz Hiremath,34,Male,DIST_1,45,
PERSON_ACCUSED_246,Rizwan Ali,Rizwan Ali,32,Male,DIST_1,45,
PERSON_ACCUSED_247,Irfan Gowda,Irfan Gowda,39,Male,DIST_1,45,
PERSON_ACCUSED_248,Aslam Khan,Aslam Khan,33,Male,DIST_1,45,
PERSON_ACCUSED_249,Lata Swamy,Lata Swamy,21,Female,DIST_1,45,
PERSON_ACCUSED_250,Rajesh Achar,Rajesh Achar,29,Male,DIST_1,45,
PERSON_ACCUSED_251,Venkatesh Hosur,Venkatesh Hosur,33,Male,DIST_1,45,
PERSON_ACCUSED_252,Santhosh Hiremath,Santhosh Hiremath,24,Male,DIST_1,45,
PERSON_ACCUSED_253,Mahadeva Maniyar,Mahadeva Maniyar,24,Male,DIST_1,45,
PERSON_ACCUSED_254,Vishwanath Reddy,Vishwanath Reddy,23,Male,DIST_1,45,
PERSON_ACCUSED_255,Abdul Kini,Abdul Kini,28,Male,DIST_1,45,
PERSON_ACCUSED_256,Kiran Nadaf,Kiran Nadaf,39,Male,DIST_1,45,
PERSON_ACCUSED_257,Manjunath Pai,Manjunath Pai,20,Male,DIST_1,45,
PERSON_ACCUSED_258,Iqbal Char,Iqbal Char,36,Male,DIST_1,45,
PERSON_ACCUSED_259,Shivu Swamy,Shivu Swamy,28,Male,DIST_1,45,
PERSON_ACCUSED_260,Basheer Nadaf,Basheer Nadaf,36,Male,DIST_1,45,
PERSON_ACCUSED_261,Rakesh Hosur,Rakesh Hosur,18,Male,DIST_1,45,
PERSON_ACCUSED_262,Kempe Hiremath,Kempe Hiremath,28,Male,DIST_1,45,
PERSON_ACCUSED_263,Vinay Inamdar,Vinay Inamdar,22,Male,DIST_1,45,
PERSON_ACCUSED_264,Kumar Patil,Kumar Patil,35,Male,DIST_1,45,
PERSON_ACCUSED_265,Mallesh Bellary,Mallesh Bellary,32,Male,DIST_1,45,
PERSON_ACCUSED_266,Shabbir Inamdar,Shabbir Inamdar,27,Male,DIST_1,45,
PERSON_ACCUSED_267,Rajesh R Menon,Rajesh R Menon,18,Male,DIST_1,45,
PERSON_ACCUSED_268,Dinesh Kulkarni,Dinesh Kulkarni,29,Male,DIST_1,45,
PERSON_ACCUSED_269,Vishwanath Suvarna,Vishwanath Suvarna,26,Male,DIST_1,45,
PERSON_ACCUSED_270,Mohan Baig,Mohan Baig,37,Male,DIST_1,45,
PERSON_ACCUSED_271,Mohammed Shenoy,Mohammed Shenoy,24,Male,DIST_1,45,
PERSON_ACCUSED_273,Arshad Reddy,Arshad Reddy,18,Male,DIST_1,45,
PERSON_ACCUSED_274,Basavaraj alias Basya,Basavaraj alias Basya,28,Male,DIST_1,89,1
PERSON_ACCUSED_275,Chandrashekar J Shetty,Chandrashekar J Shetty,39,Male,DIST_1,45,
PERSON_ACCUSED_276,Iqbal Bhat,Iqbal Bhat,33,Male,DIST_1,45,
PERSON_ACCUSED_277,Satish Kamath,Satish Kamath,20,Male,DIST_1,45,
PERSON_ACCUSED_278,Faiz Murthy,Faiz Murthy,21,Male,DIST_1,45,
PERSON_ACCUSED_279,Satish Hubli,Satish Hubli,33,Male,DIST_1,45,
PERSON_ACCUSED_280,Iqbal Inamdar,Iqbal Inamdar,25,Male,DIST_1,45,
PERSON_ACCUSED_281,Ningappa Prabhu,Ningappa Prabhu,40,Male,DIST_1,45,
PERSON_ACCUSED_282,Akbar Patil,Akbar Patil,34,Male,DIST_1,45,
PERSON_ACCUSED_283,Lokesh Hiremath,Lokesh Hiremath,26,Male,DIST_1,45,
PERSON_ACCUSED_284,Kiran alias Kiri,Kiran alias Kiri,21,Male,DIST_1,89,1
PERSON_ACCUSED_285,Rakesh Hiremath,Rakesh Hiremath,32,Male,DIST_1,45,
PERSON_ACCUSED_286,Irfan Poojary,Irfan Poojary,36,Male,DIST_1,45,
PERSON_ACCUSED_288,Mohammed Qureshi,Mohammed Qureshi,31,Male,DIST_1,45,
PERSON_ACCUSED_289,Suresh Gowda,Suresh Gowda,18,Male,DIST_1,45,
PERSON_ACCUSED_290,Gopal Joshi,Gopal Joshi,32,Male,DIST_1,45,
PERSON_ACCUSED_291,Faiz Kotian,Faiz Kotian,34,Male,DIST_1,45,
PERSON_ACCUSED_292,Irfan Inamdar,Irfan Inamdar,34,Male,DIST_1,45,
PERSON_ACCUSED_293,Aslam T Khan,Aslam T Khan,22,Male,DIST_1,45,
PERSON_ACCUSED_294,Manja alias Ganja Manja,Manja alias Ganja Manja,33,Male,DIST_1,81,1
PERSON_ACCUSED_295,Jameel Reddy,Jameel Reddy,23,Male,DIST_1,45,
PERSON_ACCUSED_296,Faisal alias Fizz,Faisal alias Fizz,34,Male,DIST_1,81,1
PERSON_ACCUSED_297,Deepak Prabhu,Deepak Prabhu,36,Male,DIST_1,45,
