AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID,DistrictName,CrimeMajorHeadID,CrimeGroupName,GravityOffenceID,FIR_Count,IsRepeatOffender,RiskScore
196,111,Basavaraj Char,19,M,A1,Tumakuru,4,Crimes Against Children,2,856,1,100
197,111,Nagendra Hubli,35,M,A2,Tumakuru,4,Crimes Against Children,2,409,1,100
198,112,Kempe Kamath,28,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
199,113,Mohan Nadaf,37,M,A1,Bengaluru Urban,2,Crimes Against Property,1,856,1,100
200,114,Pradeep Patil,37,M,A1,Bengaluru Urban,11,Traffic Related Offences,1,856,1,100
201,114,Abdul Inamdar,30,M,A2,Bengaluru Urban,11,Traffic Related Offences,1,409,1,100
202,114,Jameel Ahmed,18,M,A3,Bengaluru Urban,11,Traffic Related Offences,1,130,1,100
203,115,Arshad Ali,28,M,A1,Dakshina Kannada,8,Drug/Narcotic Offences,2,856,1,100
204,115,Ramesh Bangera,18,M,A2,Dakshina Kannada,8,Drug/Narcotic Offences,2,409,1,100
205,115,Nadeem D Murthy,25,M,A3,Dakshina Kannada,8,Drug/Narcotic Offences,2,130,1,100
206,115,Suresh Desai,22,M,A4,Dakshina Kannada,8,Drug/Narcotic Offences,2,44,1,100
207,115,Yusuf Achar,31,M,A5,Dakshina Kannada,8,Drug/Narcotic Offences,2,28,1,100
208,115,Arshad Nair,18,M,A6,Dakshina Kannada,8,Drug/Narcotic Offences,2,16,1,100
209,116,Irfan Siddiqui,18,M,A1,Bengaluru Urban,1,Crimes Against Body,1,856,1,100
210,116,Dinesh Nadaf,29,M,A2,Bengaluru Urban,1,Crimes Against Body,1,409,1,100
211,116,Ningappa Hubli,46,M,A3,Bengaluru Urban,1,Crimes Against Body,1,130,1,100
212,117,Anitha Kamath,24,F,A1,Bengaluru Urban,2,Crimes Against Property,1,856,1,100
213,117,Prasad Kamath,32,M,A2,Bengaluru Urban,2,Crimes Against Property,1,409,1,100
214,117,Deepak Maniyar,32,M,A3,Bengaluru Urban,2,Crimes Against Property,1,130,1,100
215,118,Umesh Reddy,30,M,A1,Bengaluru Urban,7,Cyber Crimes,2,856,1,100
216,119,Chandrashekar Nadaf,33,M,A1,Bengaluru Urban,10,Crimes Against Public Order,1,856,1,100
217,120,Amina Shetty,18,F,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
218,120,Shivakumar Desai,31,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
219,120,Irfan Baig,30,M,A3,Bengaluru Urban,2,Crimes Against Property,2,130,1,100
220,120,Santhosh Sayyad,30,M,A4,Bengaluru Urban,2,Crimes Against Property,2,44,1,100
221,120,Mahesh Kotian,34,M,A5,Bengaluru Urban,2,Crimes Against Property,2,28,1,100
222,121,Ashok Suvarna,24,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
223,121,Hanumantha Qureshi,36,M,A2,Bengaluru Urban,1,Crimes Against Body,2,409,1,100
224,121,Manju V Khan,18,M,A3,Bengaluru Urban,1,Crimes Against Body,2,130,1,100
225,122,Manjunath Bellary,23,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
226,122,Divya Inamdar,38,F,A2,Bengaluru Urban,1,Crimes Against Body,2,409,1,100
227,123,Shabbir P Nair,28,M,A1,Haveri,7,Cyber Crimes,1,856,1,100
228,124,Prasad A Char,39,M,A1,Uttara Kannada,8,Drug/Narcotic Offences,2,856,1,100
229,124,Shivu Kamath,32,M,A2,Uttara Kannada,8,Drug/Narcotic Offences,2,409,1,100
230,124,Vinay Ahmed,21,M,A3,Uttara Kannada,8,Drug/Narcotic Offences,2,130,1,100
231,125,Rashid Menon,37,M,A1,Mysuru,11,Traffic Related Offences,2,856,1,100
232,126,Harish Bhat,26,M,A1,Bengaluru Urban,10,Crimes Against Public Order,2,856,1,100
233,127,Hussain Naidu,34,M,A1,Chikkamagaluru,6,Economic Offences,2,856,1,100
234,128,Prasad Bangera,29,M,A1,Bengaluru Urban,10,Crimes Against Public Order,2,856,1,100
235,129,Anil Ali,40,M,A1,Chitradurga,1,Crimes Against Body,1,856,1,100
236,130,Manjunath Rao,20,M,A1,Mysuru,1,Crimes Against Body,1,856,1,100
237,130,Madhu Qureshi,33,M,A2,Mysuru,1,Crimes Against Body,1,409,1,100
238,130,Kempe Char,29,M,A3,Mysuru,1,Crimes Against Body,1,130,1,100
239,130,Vijaykumar Achar,31,M,A4,Mysuru,1,Crimes Against Body,1,44,1,100
240,130,Mallesh S Nair,33,M,A5,Mysuru,1,Crimes Against Body,1,28,1,100
241,131,Mohammed Hubli,38,M,A1,Mysuru,3,Crimes Against Women,2,856,1,100
242,132,Murali Naidu,29,M,A1,Uttara Kannada,1,Crimes Against Body,2,856,1,100
243,133,Arun alias Arni,39,M,A1,Dakshina Kannada,2,Crimes Against Property,1,856,1,100
244,133,Raghavendra Hosur,20,M,A2,Dakshina Kannada,2,Crimes Against Property,1,409,1,100
245,134,Faiz Hiremath,34,M,A1,Bengaluru Urban,12,Environmental Offences,2,856,1,100
246,134,Rizwan Ali,32,M,A2,Bengaluru Urban,12,Environmental Offences,2,409,1,100
247,135,Irfan Gowda,39,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
248,135,Aslam Khan,33,M,A2,Bengaluru Urban,3,Crimes Against Women,2,409,1,100
249,135,Lata Swamy,21,F,A3,Bengaluru Urban,3,Crimes Against Women,2,130,1,100
250,136,Rajesh Achar,29,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
251,137,Venkatesh Hosur,33,M,A1,Ballari (Bellary),1,Crimes Against Body,2,856,1,100
252,138,Santhosh Hiremath,24,M,A1,Bengaluru Urban,1,Crimes Against Body,1,856,1,100
253,138,Mahadeva Maniyar,24,M,A2,Bengaluru Urban,1,Crimes Against Body,1,409,1,100
254,139,Vishwanath Reddy,23,M,A1,Bengaluru Rural,6,Economic Offences,2,856,1,100
255,139,Abdul Kini,28,M,A2,Bengaluru Rural,6,Economic Offences,2,409,1,100
256,139,Kiran Nadaf,39,M,A3,Bengaluru Rural,6,Economic Offences,2,130,1,100
257,140,Manjunath Pai,20,M,A1,Vijayapura,3,Crimes Against Women,2,856,1,100
258,141,Iqbal Char,36,M,A1,Bengaluru Rural,7,Cyber Crimes,2,856,1,100
259,141,Shivu Swamy,28,M,A2,Bengaluru Rural,7,Cyber Crimes,2,409,1,100
260,142,Basheer Nadaf,36,M,A1,Mandya,2,Crimes Against Property,2,856,1,100
261,143,Rakesh Hosur,18,M,A1,Gadag,1,Crimes Against Body,1,856,1,100
262,143,Kempe Hiremath,28,M,A2,Gadag,1,Crimes Against Body,1,409,1,100
263,144,Vinay Inamdar,22,M,A1,Bengaluru Urban,1,Crimes Against Body,2,856,1,100
264,145,Kumar Patil,35,M,A1,Dakshina Kannada,11,Traffic Related Offences,2,856,1,100
265,145,Mallesh Bellary,32,M,A2,Dakshina Kannada,11,Traffic Related Offences,2,409,1,100
266,146,Shabbir Inamdar,27,M,A1,Tumakuru,8,Drug/Narcotic Offences,3,856,1,100
267,146,Rajesh R Menon,18,M,A2,Tumakuru,8,Drug/Narcotic Offences,3,409,1,100
268,147,Dinesh Kulkarni,29,M,A1,Bengaluru Urban,2,Crimes Against Property,2,856,1,100
269,147,Vishwanath Suvarna,26,M,A2,Bengaluru Urban,2,Crimes Against Property,2,409,1,100
270,148,Mohan Baig,37,M,A1,Chitradurga,2,Crimes Against Property,2,856,1,100
271,149,Mohammed Shenoy,24,M,A1,Davanagere,6,Economic Offences,1,856,1,100
272,150,Rakesh alias Rocky,30,M,A1,Belagavi (Belgaum),1,Crimes Against Body,2,856,1,100
273,150,Arshad Reddy,18,M,A2,Belagavi (Belgaum),1,Crimes Against Body,2,409,1,100
274,151,Basavaraj alias Basya,28,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
275,151,Chandrashekar J Shetty,39,M,A2,Bengaluru Urban,3,Crimes Against Women,2,409,1,100
276,152,Iqbal Bhat,33,M,A1,Mysuru,11,Traffic Related Offences,2,856,1,100
277,153,Satish Kamath,20,M,A1,Mysuru,2,Crimes Against Property,2,856,1,100
278,153,Faiz Murthy,21,M,A2,Mysuru,2,Crimes Against Property,2,409,1,100
279,153,Satish Hubli,33,M,A3,Mysuru,2,Crimes Against Property,2,130,1,100
280,154,Iqbal Inamdar,25,M,A1,Bengaluru Urban,1,Crimes Against Body,1,856,1,100
281,155,Ningappa Prabhu,40,M,A1,Mysuru,7,Cyber Crimes,2,856,1,100
282,156,Akbar Patil,34,M,A1,Bengaluru Urban,3,Crimes Against Women,2,856,1,100
283,157,Lokesh Hiremath,26,M,A1,Tumakuru,3,Crimes Against Women,2,856,1,100
